Company,Location,Title
Hyperscience,Sofia,Senior Software Engineer - Backend
Company,Location,Title
HealthJoy,Bulgaria,Lead Software Engineer BackEnd
Company,Location,Title
European Molecular Biology Laboratory (EMBL),Kyiv,Web Developer – Software and Solutions team at EMBL
Company,Location,Title
e-bot7 GmbH,Ukraine,Senior Full-Stack Engineer (m/f/d)
Company,Location,Title
SemanticBits,Heidelberg,Senior Java Backend Engineer - Remote
Company,Location,Title
ACV Auctions,Deutschland,Senior Software Engineer IV
Company,Location,Title
REWE digital,München,Front-End
Company,Location,Title
Industrious,Germany,Java Software Engineer (m/w/d) remote möglich
Company,Location,Title
Reaktor,No office location,Senior Backend Engineer (US Authorization Required)
Company,Location,Title
CouponCabin,Buffalo,Software Developer
Company,Location,Title
ColdQuanta Inc.,NY,Senior Python Developer
Company,Location,Title
The Jellyvision Lab Inc.,Ilmenau,Python Software Engineer
Company,Location,Title
Hubert Burda Media,Deutschland,Senior Software Engineer I at Interactive Benefits Communications Platform
Company,Location,Title
travel audience GmbH,New York,Fullstack Software Developer (m/f/d) Python at Netdoktor
Company,Location,Title
sonnen GmbH,NY,(Senior) Backend Engineer at the leading data-driven travel Advertising platform
Company,Location,Title
Hubert Burda Media,Amsterdam,Python Backend Developer (m/w/d)
Company,Location,Title
BerBob,Netherlands,Frontend Developer (m/f/d) at Netdoktor
Company,Location,Title
Zero to One search GmbH,Chicago,Senior Backend Engineer (Node.js/TypeScript)
Company,Location,Title
Facelift brand building technologies GmbH,IL,Web Developer PHP at the leading Social Media Software Company (m/w/d)
Company,Location,Title
REWE digital,Boulder,Java Software Engineer (m/f/d) Standort Berlin
Company,Location,Title
Hubert Burda Media,CO,Backend Developer (m/f/d) at Netdoktor
Company,Location,Title
SAP,No office location,User Research Senior / Expert (f/m/d) at SAP Design
Company,Location,Title
Bitovi,München,Senior Backend Developer (FT
Company,Location,Title
Facelift brand building technologies GmbH,Deutschland,Remote)
Company,Location,Title
Zenjob,Berlin,Senior Frontend Developer at the leading Social Media Software Company (m/w/d)
Company,Location,Title
VMware Bulgaria,Germany,Backend Engineer (f/m/x)
